OBJECTID,UNIT_CODE,GIS_Notes,UNIT_NAME,DATE_EDIT,STATE,REGION,GNIS_ID,UNIT_TYPE,CREATED_BY,METADATA,PARKNAME,CreationDate,Creator,EditDate,Editor,Shape__Area,Shape__Length,GlobalID
21,TONT,Lands - http://landsnet.nps.gov/tractsnet/documents/TONT/Metadata/tont_metadata.xml,Tonto National Monument,2006/02/23 00:00:00+00,AZ,IM,35382,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048053,Tonto,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:08:52.387+00,RJohnson@nps.gov_nps,6567120.82421875,11635.7828154379,8bc2f5fa-db42-4396-b0f8-70c75af4f7eb
22,HOFR,Lands - http://landsnet.nps.gov/tractsnet/documents/HOFR/Metadata/hofr_metadata.xml,Home of Franklin D. Roosevelt National Historic Site,2006/03/07 00:00:00+00,NY,NE,1888929,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047983,Home of Franklin D Roosevelt,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:08:59.498+00,RJohnson@nps.gov_nps,6542741.7890625,19536.1431709305,ec6e0f58-45a2-4f23-af3d-937468ac73cf
23,NISI,Lands - http://landsnet.nps.gov/tractsnet/documents/NISI/Metadata/nisi_metadata.xml,Ninety Six National Historic Site,2006/03/20 00:00:00+00,SC,SE,1227788,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048027,Ninety Six,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:09:08.414+00,RJohnson@nps.gov_nps,5700905.23828125,11853.3066346087,fa81faf2-0f42-4599-b4d9-c9d0dd911968
25,BUIS,Lands - http://landsnet.nps.gov/tractsnet/documents/BUIS/Metadata/buis_metadata.xml,Buck Island Reef National Monument,2006/03/20 00:00:00+00,VI,SE,1613756,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047917,Buck Island Reef,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:09:24.415+00,RJohnson@nps.gov_nps,85236901.4082031,35451.995651688,fc28835c-d2b6-45c5-8d67-a5a738b8a1df
26,CAWO,Lands - http://landsnet.nps.gov/tractsnet/documents/CAWO/Metadata/cawo_metadata.xml,Carter G. Woodson National Historic Site,2006/03/22 00:00:00+00,MD,NC,2085144,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048147,Carter G. Woodson Home,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:09:34.426+00,RJohnson@nps.gov_nps,1273.03515625,155.437043058947,04ed3439-0540-4961-850c-eb3c0d0e1b5a
27,BOHA,Lands - http://landsnet.nps.gov/tractsnet/documents/BOHA/Metadata/boha_metadata.xml,Boston Harbor Islands National Recreation Area,2006/08/14 00:00:00+00,MA,NE,606990,National Recreation Area,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047911,Boston Harbor Islands,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:09:41.519+00,RJohnson@nps.gov_nps,11811974.859375,89000.9162192845,7ae5f143-be8b-4973-b014-7f002eb05c37
28,SUCR,Lands - http://landsnet.nps.gov/tractsnet/documents/SUCR/Metadata/sucr_metadata.xml,Sunset Crater Volcano National Monument,2006/08/11 00:00:00+00,AZ,IM,34968,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048047,Sunset Crater Volcano,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:09:48.026+00,RJohnson@nps.gov_nps,18545290.4726563,17792.5010347929,c98f6671-4060-4f91-8989-5ab413e0fbcb
29,MABE,Lands - http://landsnet.nps.gov/tractsnet/documents/MABE/Metadata/mabe_metadata.xml,Mary McLeod Bethune Council House National Historic Site,2006/09/21 00:00:00+00,DC,NC,2733422,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048178,Mary McLeod Bethune Council House,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:09:54.623+00,RJohnson@nps.gov_nps,532.55078125,130.842721544261,9358fd62-c42e-4f99-9a90-dfa105409379
30,FOTH,Lands - http://landsnet.nps.gov/tractsnet/documents/FOTH/Metadata/foth_metadata.xml,Ford's Theatre National Historic Site,2006/09/21 00:00:00+00,DC,NC,530748,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048156,Ford's Theatre,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:10:04.377+00,RJohnson@nps.gov_nps,2010.9609375,298.369271687911,930fb0bd-339e-4127-a61e-c3df56ff46af
31,BRVB,Lands - http://landsnet.nps.gov/tractsnet/documents/BRVB/Metadata/brvb_metadata.xml,Brown v. Board of Education National Historic Site,2006/11/01 00:00:00+00,KS,MW,2510335,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048389,Brown V Board Of Education,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:10:11.451+00,RJohnson@nps.gov_nps,13754.13671875,828.329438407019,ea2aa0a4-aee5-46b6-aff4-6a4e825b149f
32,PISP,Lands - http://landsnet.nps.gov/tractsnet/documents/PISP/Metadata/pisp_metadata.xml,Pipe Spring National Monument,2006/12/07 00:00:00+00,AZ,IM,9526,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048036,Pipe Spring,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:10:17.719+00,RJohnson@nps.gov_nps,252896.640625,2011.56560609244,f23ff9bd-05b1-49a7-89cf-8a679dd5fa0f
33,ELMO,Lands - http://landsnet.nps.gov/tractsnet/documents/ELMO/Metadata/elmo_metadata.xml,El Morro National Monument,2006/12/11 00:00:00+00,NM,IM,906062,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047951,El Morro,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:10:24.359+00,RJohnson@nps.gov_nps,7738012.875,11786.3470076123,9ee834d2-ad26-4e08-b511-f5bac95f4856
34,ANJO,Lands - http://landsnet.nps.gov/tractsnet/documents/ANJO/Metadata/anjo_metadata.xml,Andrew Johnson National Historic Site,2007/01/24 00:00:00+00,TN,SE,1304837,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047901,Andrew Johnson,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:10:31.617+00,RJohnson@nps.gov_nps,102557.421875,2126.41821648612,4968ef8b-0da8-4768-a3fa-3f88de066c02
35,SAPA,Lands - http://landsnet.nps.gov/tractsnet/documents/SAPA/Metadata/sapa_metadata.xml,Saint Paul's Church National Historic Site,2007/02/09 00:00:00+00,NY,NE,1888959,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048042,Saint Paul's Church,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:10:38.202+00,RJohnson@nps.gov_nps,43929.2109375,866.346441743186,573e8578-9162-4dfe-a30c-e5f2e3838bc8
36,CACL,Lands - http://landsnet.nps.gov/tractsnet/documents/CACL/Metadata/cacl_metadata.xml,Castle Clinton National Monument,2007/02/16 00:00:00+00,NY,NE,945983,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047919,Castle Clinton,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:10:44.388+00,RJohnson@nps.gov_nps,8988.78515625,351.834250372351,e9bd54a5-bb7f-4409-ad2d-dcb9a147815a
37,FOBU,Lands - http://landsnet.nps.gov/tractsnet/documents/FOBU/Metadata/fobu_metadata.xml,Fossil Butte National Monument,2007/02/22 00:00:00+00,WY,IM,1605065,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047959,Fossil Butte,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:10:51.297+00,RJohnson@nps.gov_nps,60721809.8945313,44607.2124210352,b40554ea-605d-429c-afe5-88d9a98db88a
38,HOVE,Lands - http://landsnet.nps.gov/tractsnet/documents/HOVE/Metadata/hove_metadata.xml,Hovenweep National Monument,2007/04/06 00:00:00+00,UT,IM,202599,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047986,Hovenweep,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:10:58.049+00,RJohnson@nps.gov_nps,5195288.9765625,21091.6311437776,8fdbafed-1b7e-47f7-96b0-f26f308105ac
39,FOUN,Lands - http://landsnet.nps.gov/tractsnet/documents/FOUN/Metadata/foun_metadata.xml,Fort Union National Monument,2007/05/15 00:00:00+00,NM,IM,889156,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047966,Fort Union,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:11:04.331+00,RJohnson@nps.gov_nps,4454850.16015625,10849.555394412,9b650ce1-a8e5-4a44-b28e-5652e0a60523
40,ABLI,Lands - http://landsnet.nps.gov/tractsnet/documents/ABLI/Metadata/abli_metadata.xml,Abraham Lincoln Birthplace National Historical Park,2007/10/03 00:00:00+00,KY,SE,496556,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047895,Abraham Lincoln Birthplace,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:11:17.649+00,RJohnson@nps.gov_nps,2186841.2109375,12580.5390844898,7aae8653-804b-4515-98aa-1957cee07dc9
41,DRTO,Lands - http://landsnet.nps.gov/tractsnet/documents/DRTO/Metadata/drto_metadata.xml,Dry Tortugas National Park,2007/11/07 00:00:00+00,FL,SE,307632,National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047947,Dry Tortugas,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:11:28.357+00,RJohnson@nps.gov_nps,322682120.441406,69744.0117959774,28a8e19f-3a64-4cec-9dab-eac998c59c16
42,FOFR,Lands - http://landsnet.nps.gov/tractsnet/documents/FOFR/Metadata/fofr_metadata.xml,Fort Frederica National Monument,2007/12/05 00:00:00+00,GA,SE,314290,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047961,Fort Frederica,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:11:35.088+00,RJohnson@nps.gov_nps,1567605.21679688,11769.2108767934,4b92ab08-6144-43c2-95eb-c6e37a2e5689
43,MANZ,Lands - http://landsnet.nps.gov/tractsnet/documents/MANZ/Metadata/manz_metadata.xml,Manzanar National Historic Site,2008/03/04 00:00:00+00,CA,PW,1804731,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048405,Manzanar,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:11:41.267+00,RJohnson@nps.gov_nps,5134513.4453125,8941.59334512403,eb01dfab-a290-4a19-8c04-06f76a4e65be
44,BRCA,Lands - http://landsnet.nps.gov/tractsnet/documents/BRCA/Metadata/brca_metadata.xml,Bryce Canyon National Park,2008/03/27 00:00:00+00,UT,IM,1450197,National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047913,Bryce Canyon,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:11:47.437+00,RJohnson@nps.gov_nps,232305570.964844,127086.207365504,6a1c2967-59cc-496e-a8f6-22c501fd3720
45,JODR,Lands - http://landsnet.nps.gov/tractsnet/documents/JODR/Metadata/jodr_metadata.xml,"John D. Rockefeller, Jr., Memorial Parkway",2008/04/14 00:00:00+00,WY,IM,1604577,National Parkway,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048169,John D Rockefeller Jr,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:11:55.453+00,RJohnson@nps.gov_nps,185341715.179688,58880.6056135097,a9730412-2bff-4828-b7a0-2ad4c47519cf
46,EDIS,Lands - http://landsnet.nps.gov/tractsnet/documents/EDIS/Metadata/edis_metadata.xml,Thomas Edison National Historical Park,2008/04/22 00:00:00+00,NJ,NE,874901,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048152,Thomas Edison,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:12:01.917+00,RJohnson@nps.gov_nps,147844.25,2565.21869999146,b36e9604-a2ce-4976-bd83-317657b7180e
47,YELL,Lands - http://landsnet.nps.gov/tractsnet/documents/YELL/Metadata/yell_metadata.xml,Yellowstone National Park,2008/04/23 00:00:00+00,WY,IM,1609331,National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048199,Yellowstone,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:12:08.441+00,RJohnson@nps.gov_nps,17557091584.6172,674249.706889315,94de8b04-6ebe-40d3-a77e-ca059a37f6ff
48,HUTR,Lands - http://landsnet.nps.gov/tractsnet/documents/HUTR/Metadata/hutr_metadata.xml,Hubbell Trading Post National Historic Site,2008/05/13 00:00:00+00,AZ,IM,6092,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047988,Hubbell Trading Post,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:12:15.366+00,RJohnson@nps.gov_nps,983458.75,4954.33587251416,630c9e44-b178-427d-9520-fe23da4c2929
49,CHAM,Lands - http://landsnet.nps.gov/tractsnet/documents/CHAM/Metadata/cham_metadata.xml,Chamizal National Memorial,2008/05/20 00:00:00+00,TX,IM,1888906,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047931,Chamizal,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:12:23.668+00,RJohnson@nps.gov_nps,306416.71875,2288.42466481593,6d5169b7-246a-4dce-8de6-100a6b80fa8c
50,PUHE,Lands - http://landsnet.nps.gov/tractsnet/documents/PUHE/Metadata/puhe_metadata.xml,Pu'ukohola Heiau National Historic Site,2008/06/18 00:00:00+00,HI,PW,1877550,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048187,Puukohola Heiau,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:12:30.438+00,RJohnson@nps.gov_nps,396784.484375,3016.8871134138,80c17aeb-2bed-413a-9ab5-8c630c90fc5e
51,ULSG,Lands - http://landsnet.nps.gov/tractsnet/documents/ULSG/Metadata/ulsg_metadata.xml,Ulysses S. Grant National Historic Site,2008/07/01 00:00:00+00,MO,MW,2733425,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048194,Ulysses S Grant,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:12:37.744+00,RJohnson@nps.gov_nps,65455.14453125,1054.31062842797,9dbddff9-be7a-4a9f-be34-9a288cb4d2df
52,CANA,Lands - http://landsnet.nps.gov/tractsnet/documents/CANA/Metadata/cana_metadata.xml,Canaveral National Seashore,2008/07/30 00:00:00+00,FL,SE,307730,National Seashore,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048145,Canaveral,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:12:49.358+00,RJohnson@nps.gov_nps,309112930.085938,112604.043679637,d8eca179-4c53-468f-9d6d-ed1dde0ce51c
53,AFBG,Lands - http://landsnet.nps.gov/tractsnet/documents/AFBG/Metadata/afbg_metadata.xml,African Burial Ground National Monument,2008/08/19 00:00:00+00,NY,NE,2060434,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048074,African Burial Ground,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:13:00.759+00,RJohnson@nps.gov_nps,2425.18359375,202.497900920961,b5684779-7189-4ce6-8d11-9fd551b4ed23
54,CABR,Lands - http://landsnet.nps.gov/tractsnet/documents/CABR/Metadata/cabr_metadata.xml,Cabrillo National Monument,2008/08/28 00:00:00+00,CA,PW,255957,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047918,Cabrillo,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:13:07.462+00,RJohnson@nps.gov_nps,916420.54296875,6086.74143373809,cd8d5757-b1be-45c2-9fcd-f28cd040c2e8
55,CLBA,Lands - http://landsnet.nps.gov/tractsnet/documents/CLBA/Metadata/clba_metadata.xml,Clara Barton National Historic Site,2008/11/17 00:00:00+00,MD,NC,2733426,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048149,Clara Barton,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:13:13.742+00,RJohnson@nps.gov_nps,55817.25,1017.1115738357,2199cd3a-f8ff-445f-a401-0a3f811357c7
56,FOWA,Lands - http://landsnet.nps.gov/tractsnet/documents/FOWA/Metadata/fowa_metadata.xml,Fort Washington Park,2008/11/17 00:00:00+00,MD,NC,597426,Other Designation,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048158,Fort Washington,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:13:27.422+00,RJohnson@nps.gov_nps,2290208.61328125,7262.98518943717,f6d201e7-2c77-4d31-a682-a8511d79bb3c
57,SEQU,Lands - http://landsnet.nps.gov/tractsnet/documents/SEQU/Metadata/sequ_metadata.xml,Sequoia National Park,2008/11/26 00:00:00+00,CA,PW,266000,National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048045,Sequoia,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:13:33.878+00,RJohnson@nps.gov_nps,2553244941.73828,320822.950342965,c07cc3e8-2f37-44fa-9c20-32b66972a030
58,KALA,Lands - http://landsnet.nps.gov/tractsnet/documents/KALA/Metadata/kala_metadata.xml,Kalaupapa National Historical Park,2009/01/15 00:00:00+00,HI,PW,365030,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047996,Kalaupapa,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:13:40.483+00,RJohnson@nps.gov_nps,49785906.7578125,54468.0878829211,e5685049-b449-4508-9e95-4aefdd10c5df
59,TUAI,Lands - http://landsnet.nps.gov/tractsnet/documents/TUAI/Metadata/tuai_metadata.xml,Tuskegee Airmen National Historic Site,2009/02/03 00:00:00+00,AL,SE,2492338,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048054,Tuskegee Airmen,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:13:47.109+00,RJohnson@nps.gov_nps,507337.4375,3378.24162850273,69fc78c9-75a5-46a1-bac3-38fb474c3731
60,SARI,Lands - http://landsnet.nps.gov/tractsnet/documents/SARI/Metadata/sari_metadata.xml,Salt River Bay National Historical Park and Ecological Preserve,2009/03/05 00:00:00+00,VI,SE,1993989,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048043,Salt River Bay,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:13:53.813+00,RJohnson@nps.gov_nps,4603167.81347656,15506.9448872215,0a371eb6-0112-44b7-b900-d2087b4020c3
